fund_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster_kmeans,cluster_hac,name,beta_Mkt_RF_5y,rsquared_5y,vol_ann_5y
9,-1.6293868658386421,6.478486162168087,0.06011920330564111,-0.6095390597971291,-0.6177541752054787,0.6551969973495004,0.9074727980484809,0,1,"JAN HEN GLOBAL EQUITY ""R"" (USD) ACC",0.562970717227643,0.3626094139623658,16.292796826768043
20,-1.2179336994770076,-0.995692760406492,-2.0747319113050744,-5.704535179027498,0.11709077037497947,-1.0190120804637806,0.4443495653175046,0,1,"FRANKLIN EUROPEAN GROWTH ""I""",0.6268434845195323,0.3392555250448337,16.158319181685105
22,0.42850156300772246,1.4720539148836476,0.8601095948830615,-4.405524210353851,1.8037977202765167,0.6968349088073931,1.6024670148781823,0,1,"FRANKLIN GLOBAL REAL ESTATE ""I"" ACC",0.7264029506945331,0.35328275191268554,18.08553962780272
24,-6.389007767876288,-2.652848684287163,0.18028408478141608,1.6122330580804873,0.47570045898519164,1.1200702243841767,1.207110129454854,1,0,"FRANKLIN EURO HIGH YIELD ""I"" (EUR) ACC",0.23372284964171117,0.4563881044888236,4.008492534329194
26,-4.032097484779893,-0.010465341950043727,0.9362317899761509,-1.7294582493305013,-1.8076370633223786,0.6256620856879016,1.2626522784705896,1,0,"FRANKLIN INCOME ""I""",0.3684356073335819,0.33968615998071316,9.69741126122166
27,3.9823698011891557,3.192120687031153,-0.5042123871548602,-2.019552226708017,3.829090224937134,1.5544661535527626,1.0655033814548829,0,1,"FRANKLIN INDIA ""I"" (USD)",0.8743720425453163,0.3388172806492902,20.52753744499163
29,0.8317187268631967,1.3871462007768889,0.6792683017914135,-5.259769839217359,-1.051771264027534,1.0108270275052835,2.210391581258385,0,1,"FRANKLIN MUTUAL GLB DISCOVERY ""I"" (USD)",0.711359143212605,0.36847725488855265,18.43360951172576
40,-1.023723340349883,7.808164615589641,-6.3437396232956385,-0.5365503936694023,2.1307449109562357,0.668728600149513,-2.2106161037714154,0,1,"TEMPLETON ASIAN GROWTH ""I"" (EUR)",0.6517350807980447,0.401317116042905,18.01528933254371
47,0.925507564976646,9.237749414904933,-5.296103763016872,0.7291287294695867,0.3741661472332619,-3.027941419915624,-1.0851840454779402,0,1,"TEMPLETON CHINA ""I""",0.790027824679755,0.4612139332554521,19.36541250757526
50,1.0122435904998413,6.3163686509706345,-3.667981476605952,-1.193674334146896,0.7378672861159741,0.865612688355407,0.029534727899974245,0,1,"TEMPLETON EMERGING MARKETS ""I""",0.8187981530531612,0.5097066795554109,18.415010911005062
52,-1.4660371466408129,0.8562948865699292,-1.6628288313418396,-5.3825401919927875,-0.7414446678687218,-1.5571841630813945,0.3109716689679526,0,1,"TEMPLETON EUROLAND ""I""",0.5913823308014383,0.31682200344772316,17.143552456640027
60,-3.722636436240331,-0.20231988422410976,-1.6119944178401924,-1.695441115346131,-1.5372809334672946,-0.06547214556405617,0.8381642719769729,1,0,"TEMPLETON GLOBAL INCOME ""I""",0.40908597481616554,0.39484652531035447,9.911398471133868
61,0.11772688800800513,3.3372751009239114,1.785301293622923,-3.514621046209513,-0.4174684027561515,1.0507628737680033,2.2042372318229226,0,1,"TEMPLETON GLOBAL SMALLER COMPANIES ""I""",0.6988501864179257,0.4172090288121064,16.700564454541933
64,-1.34546110151346,0.348260195629816,-0.666436221696271,-3.87602029342869,-2.003994298011631,-0.30071289545880964,0.7518641881996715,0,1,"TEMPLETON GROWTH EURO ""I"" (USD) D",0.5938526370542843,0.40927722858255533,14.108369330685152
105,-1.0472926517927479,7.625877007287589,-6.578249860910609,-0.6849692088144437,2.1607717247887233,0.47839956157612945,-2.2558835814204574,0,1,"TEMPLETON ASIAN GROWTH ""A"" (EUR)",0.6520976593188257,0.40132432366854,18.018579540040303
129,-4.841760270617644,1.7509782544600574,-1.3396589431690775,-0.6814311731605411,-1.225675196509664,0.0974123510353338,0.6336531928583642,1,0,"UBS (LUX) KEY SEL SIC GB ALL (EUR) ""P""",0.3535805351233743,0.41536535567518384,9.3217025436322
135,0.032359521600415775,1.131883797562995,0.001215151862135437,-2.26945197783955,-0.16001309081675621,0.6163445380062573,-0.6989495559031303,0,1,"PICTET EUROPE INDEX ""I""",0.6348446179329708,0.32979890439161064,15.857581509235729
138,4.613871892012645,-2.6102672119869785,1.9767585619030708,-4.842054014602634,-0.9639815249703662,-1.331759342724247,-0.07178694339172687,0,1,"PICTET EUROPEAN EQ SELECTION ""I"" ACC",0.9168723180251632,0.3785853223666106,19.324698925761712
143,5.5519448804283815,2.868745564903438,0.9607580279331324,-0.09072189318985352,6.446760301655808,1.1593397929703653,0.8390964096274816,0,1,"PICTET INDIAN EQUITIES ""I"" ACC",0.9602494721156345,0.3341585017614501,21.4451017122384
144,1.6191897156725177,-1.6193695749818675,-0.21502643421672515,0.07010976129116192,-3.138389838077143,2.4409066092456464,-3.2513976282348516,0,1,"PICTET JAPAN INDEX ""I""",0.6780449131622382,0.3025221649565476,15.76561789297473
145,0.9569631213621079,1.3852645922587197,-0.929965223600141,-1.0691514603307812,-2.1238423521366743,2.3869467520291576,-0.947392551338591,0,1,"PICTET JAPANESE EQUIT ""HP"" (EURHDG)",0.6857432264383772,0.34251727808283017,16.909221576293906
146,0.9431214726011823,1.261058729478797,-1.0626622304756508,-1.1871138183021115,-2.089957380135001,2.2837950002565903,-0.9631946618364549,0,1,"PICTET JAPANESE EQUIT ""HR"" (EURHDG)",0.6860046163484776,0.3425530544213683,16.904613073965614
160,1.394711818774955,2.520920825029301,5.84029790991138,-0.1849069979341908,0.7687344552221496,0.5118322325801843,-2.1307122643300156,0,1,"JPM AMERICA EQUITY ""D"" (EUR)",0.7479105043977318,0.30033104050597215,17.742979543470035
161,0.6816972788107107,1.385342436932257,1.803899407847776,-0.7583855115144017,1.7163549598758543,-0.06605431741626644,-1.857958174072838,0,1,"JPM GLOBAL EQUITY ""D""(EUR)",0.724373589950993,0.3824999058388323,15.472765197890949
164,1.7297458963795669,4.485042789667583,-1.7869012216280233,1.0018410230942232,-1.4462328674346552,0.6024383100323247,-0.771221484685803,0,1,"JPM PACIFIC EQUITY ""D"" (EUR) ACC",0.7768017655361241,0.5409126366495438,15.781273377228693
165,3.467140480840371,5.179156253112881,-2.246677707835553,1.1768524816530643,0.8024608224991631,-0.9732142400726438,-0.8451260048387896,0,1,"JPM EMERGING MARKETS EQUITY ""D"" (EUR)",0.8886812940032411,0.4947773809957472,18.155140590656238
230,1.0929012945803946,1.0462475630497932,-0.382425877131708,-0.8925986650657821,1.710196877987226,0.25447669020554703,-0.5030168679575245,0,1,"GS EUROPE CORESM EQ PORF ""BS"" ACC",0.7261430345625359,0.395384365212576,15.6021540413583
235,4.678616928136195,2.6765923465211485,-2.029684834350256,2.236367017689199,-0.3650364060732384,0.19639431631314624,-0.32302552112552513,0,1,"GS ASIA EQUITY PORTFOLIO ""BS"" (USD) ACC",0.9267434595873311,0.5049799693538257,17.712943073809896
238,2.769744295009843,-0.9437333591613741,1.4693258446738564,-0.5091809388968005,-0.5303345880896737,-0.020087603149230637,0.09487708083747126,0,1,"GOLDMAN SACHS GLOBAL ""BS"" (USD)",0.7886509467065359,0.44309308954470394,15.04710599698811
