rebalance_date,rank,symbol,score,weight
2015-06-30,5,EA,2.3504467821258093,0.05
2015-06-30,6,BRCM-201601,2.0958146299242304,0.05
2015-06-30,7,CI,1.8967809861036269,0.05
2015-06-30,8,KRFT-201507,1.8943102552142412,0.05
2015-06-30,9,AET-201811,1.8233461400213073,0.05
2015-06-30,10,BSX,1.811852264318801,0.05
2015-06-30,11,ELV,1.7720061804713834,0.05
2015-06-30,12,VMC,1.7505595961458766,0.05
2015-06-30,13,REGN,1.6414258240119821,0.05
2015-06-30,14,ALTR-201512,1.6374357443964191,0.05
2015-06-30,15,KMX,1.5943203925378295,0.05
2015-06-30,16,PLL-201508,1.5899749605498323,0.05
2015-06-30,17,NEM,1.5808372340874408,0.05
2015-06-30,18,MNST,1.547962224713133,0.05
2015-06-30,19,COR,1.5158385355686124,0.05
2015-06-30,20,RHT-201907,1.4949299221274481,0.05
2015-07-31,1,NFLX,2.958552969787533,0.05
2015-07-31,2,CI,2.62647845313464,0.05
2015-07-31,3,EA,2.3676341075312872,0.05
2015-07-31,4,HSP-201509,2.3008916741173944,0.05
2015-07-31,5,AVGO,2.172977803930332,0.05
2015-07-31,6,AET-201811,2.1143186282132316,0.05
2015-07-31,7,MNST,1.9490371276853593,0.05
2015-07-31,8,ALTR-201512,1.8955991076482441,0.05
2015-07-31,9,REGN,1.8762073301168805,0.05
2015-07-31,10,HAS,1.778186809413452,0.05
2015-07-31,11,KRFT-201507,1.7691822525705947,0.05
2015-07-31,12,ELV,1.752115457694678,0.05
2015-07-31,13,HUM,1.7462968212263736,0.05
2015-07-31,14,AMZN,1.651793315919063,0.05
2015-07-31,15,DRI,1.6002446359678855,0.05
2015-07-31,16,BSX,1.5711091784111109,0.05
2015-07-31,17,SBUX,1.5490550353079375,0.05
2015-07-31,18,EXPE,1.4605231912076884,0.05
2015-07-31,19,CAG,1.4536241663191332,0.05
2015-07-31,20,SEE,1.450711469628665,0.05
2015-08-31,1,NFLX,2.7212703079635903,0.05
2015-08-31,2,MNST,2.1832841409392514,0.05
2015-08-31,3,AMZN,1.9909073113068982,0.05
2015-08-31,4,EA,1.9425448172052213,0.05
2015-08-31,5,ALTR-201512,1.82558446161869,0.05
2015-08-31,6,CVC-201606,1.7715836943028538,0.05
2015-08-31,7,HAS,1.7637741663621669,0.05
2015-08-31,8,HSP-201509,1.6679871856012856,0.05
2015-08-31,9,REGN,1.6390726827417295,0.05
2015-08-31,10,KRFT-201507,1.6365716625288158,0.05
2015-08-31,11,EXPE,1.601675860561428,0.05
2015-08-31,12,SEE,1.5383983077202037,0.05
2015-08-31,13,CI,1.5194732728670166,0.05
2015-08-31,14,PLL-201508,1.4964634422949061,0.05
2015-08-31,15,AVGO,1.4671811651071902,0.05
2015-08-31,16,UAA,1.450275213097112,0.05
2015-08-31,17,SBUX,1.379401197767995,0.05
2015-08-31,18,RAI-201707,1.3730004311365265,0.05
2015-08-31,19,ORLY,1.3684587857396393,0.05
