Estrategia,CAGR,Volatilidad,Sharpe,Sortino,Max Drawdown,Beta vs SPY,Alpha vs SPY
Momentum,0.04215980213121395,0.24869646889370117,0.2916148225907105,0.362247364163446,-0.554556873929831,1.066998251700172,-0.0798390837651678
SPY buy & hold,0.13505281211988285,0.17745252198831973,0.8046975211412594,0.9787190445673282,-0.337172756059125,1.0,0.0
